image,nose,left_eye_inner,left_eye,left_eye_outer,right_eye_inner,right_eye,right_eye_outer,left_ear,right_ear,mouth_left,mouth_right,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_pinky,right_pinky,left_index,right_index,left_thumb,right_thumb,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,left_heel,right_heel,left_foot_index,right_foot_index
00000000.jpg,-162.12635679910693,-160.85719472749395,-160.46236442559228,-160.13132381411714,-160.85850215172866,-160.47729449664837,-160.11119780424045,-156.71063688138733,-156.67262660274483,-160.28055370016168,-160.32217284281109,-156.16587562746267,-151.30214084441164,175.37169531255645,-179.60188351513574,150.21260426910283,156.5141974057588,151.90180734683858,157.19800645690609,153.54068320220102,156.86543095082413,152.83788519521613,156.0710662802211,-103.63973281171401,-102.56138007201358,-0.500178858696001,-5.584859061383654,11.915049974422496,10.669113528512241,11.42273457948923,10.488571368816315,24.759130009851937,23.567965368168263
00000001.jpg,-156.17234045528176,-154.0675305926286,-153.55065068767678,-153.05711896753073,-154.11929329698563,-153.68866895424884,-153.18570821985247,-148.98343147554624,-149.46753013313372,-155.18523913789545,-155.32355267671326,-148.4451880346926,-153.58488601758341,170.5590268656696,-179.8719757709872,143.6493608245344,157.62052994575205,144.01371412504665,157.36062571097557,145.9712464844386,156.50501124767595,146.29483715635834,156.17301913921273,-78.11871069241563,-95.7369731910522,3.9921895447653073,-2.6282852818956286,11.860405633019512,10.269787107504014,10.714855022026375,9.740239766979359,24.993405084722248,23.82004898300186
00000004.jpg,-12.052348574035287,-9.866300625830236,-10.666006255168346,-11.392876238415539,-8.517831301502467,-8.119970188359229,-7.743320415193937,-14.829881928844259,-10.687593529905136,-18.275952710157295,-16.75101323150328,-32.534558379766175,-25.65407420282278,-4.871132689766005,13.395122787275515,22.797987298667596,28.50320291197247,21.812020463500115,30.54942828609353,22.6851028781327,27.250340642382337,23.336480621985537,27.003561457868337,-66.89849887977186,-66.91963671398902,-98.45096619183971,-98.10137087784058,-171.25572024411113,161.1298359141835,-174.32890299459527,160.28839211278816,-179.70268597589765,151.1178489603732
00000005.jpg,-161.6718467383328,-160.11289785923088,-159.83963525537678,-159.6261016914694,-159.83341530688193,-159.32608645982268,-158.85719873109593,-156.5106631962891,-155.95466383887128,-160.72485964765053,-160.5428298728851,-156.11410656917894,-148.14838453282402,175.23088557198452,-174.4847788019879,152.8050666025654,161.83218254763685,153.36497200333417,163.16052194484797,155.1981261529392,162.99007589810094,154.5849348223043,161.67630942351605,-92.18616648378367,-89.53743636614708,-12.910006064226478,-15.590987517362791,8.307370149723463,6.483812897175611,7.870470497210015,6.428334190561338,20.880887313005665,19.329479601070176
00000006.jpg,-156.2451704508514,-153.6973906199413,-153.15760809446599,-152.70626478418205,-153.88102737777984,-153.51609971964317,-153.20912388050414,-148.7064217735215,-149.37685892827926,-155.6256595727552,-155.79413922331364,-151.8605096840956,-145.97996543868408,172.30058395859365,-173.35683439383146,144.36603531489536,156.60540281736468,145.32920394123522,157.7841943340887,147.01845888561976,156.7767448803962,146.48086459643977,155.20047460158167,-90.55158620949139,-89.62450921889065,7.801124495064361,1.270719472731896,17.63462814858453,14.520973764899502,17.620270598164975,14.245298588920226,31.64105949827963,28.998545721690135
00000007.jpg,-169.37257589562176,-168.02003705812749,-167.5539802914326,-167.16632644896686,-168.17110389994195,-167.8304582730667,-167.5070004657378,-164.5057355159693,-165.02477573529032,-168.00155423234503,-168.16824942923574,-161.16219512690802,-159.23716793357818,173.31213037428182,-172.86748458661197,147.0564560539748,167.76360959386375,147.3802572742211,167.67230724797196,150.99866430259584,166.47728903105113,151.07632035890342,165.69764876698704,-44.969761798015575,-66.33880819326644,-10.851691466785406,-17.063954685890746,-0.46929298309472206,-5.146475621809612,0.13759982820116703,-4.474668485404149,7.2807811408058765,4.798115176624066
00000008.jpg,-151.2381572441038,-158.20907849824962,-159.43606684794204,-160.7014317469841,-154.68873212149697,-153.98396940231174,-153.54454070143603,-162.94514951940704,-150.30499168126317,-147.77203910413317,-144.07881359686536,-139.84072287090447,-128.48850257528645,56.15868507469555,-88.62531907245791,47.71972786395838,-74.73598536305414,48.0010292603826,-71.45889713738981,48.709797386736234,-71.34279291035669,48.331858146485,-72.98238711977741,-79.26570692433069,-88.55586679919261,-78.0063794319864,-75.85982829534386,-152.8406948139085,-95.26288809914897,-160.9978642661407,-97.50728921231062,-171.5800435638779,-79.14692401744952
00000010.jpg,-163.8466633074515,-162.72261597525815,-162.33417083012264,-162.00477757405926,-162.7909776394732,-162.43971017934908,-162.10785256725126,-158.6224314584415,-158.65187559424334,-162.23167440869256,-162.26880361442423,-154.03098005991544,-150.10408159504112,-179.9502589664858,-175.69207867619255,155.01188201601096,159.8892513021057,155.13222425951597,161.2555489706619,157.02129680169605,160.70415978811639,156.26617634688023,159.83069596446032,-98.9546282419542,-99.54397022045721,-5.960276233482445,-8.145676579189402,9.722332120063452,7.926851817313802,8.775243877095741,7.079096764421593,21.397948926941467,19.983187516603813
00000011.jpg,-164.17124413444378,-162.79230457079933,-162.35323715934123,-161.95629598885583,-162.79030258115964,-162.34912001850972,-161.89266259633416,-158.9391491917456,-158.91608923588817,-162.57606323615292,-162.42683679959342,-158.82218292507395,-152.7451024025981,176.32644956245633,-176.64118351919436,155.65016918902563,158.49781509891412,156.4496112172822,160.1186005080899,157.6619965075794,159.9052377088413,157.00507674653397,158.72227733866976,-117.63537678073155,-108.89016348868539,-0.506637356508356,-6.456269935533466,12.65341395427043,11.235148260991267,12.093594021802023,11.014267601862771,24.60961517543438,23.572479766825055
00000012.jpg,-154.45338174597742,-150.73837835710685,-150.30699100998876,-149.96167525740339,-150.5873192207669,-150.02451457020817,-149.52104740461553,-146.84535853539512,-145.9413654781899,-154.1222145911994,-154.14983490255244,-147.72127019472907,-141.26603376066896,171.07077507685526,-172.0996540763644,140.92828259292796,150.60821944957766,139.5429525171628,150.8222913267744,143.08201268933502,149.60709231624855,142.18025002786808,148.87314823910583,-90.14719310855068,-83.6384470235717,-7.087239048371074,-8.424577053329845,11.539550441066003,10.079219809536962,12.060747225002215,9.796976023618205,26.46629201932634,23.991035541388317
