image,nose,left_eye_inner,left_eye,left_eye_outer,right_eye_inner,right_eye,right_eye_outer,left_ear,right_ear,mouth_left,mouth_right,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_pinky,right_pinky,left_index,right_index,left_thumb,right_thumb,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,left_heel,right_heel,left_foot_index,right_foot_index
00000000.jpg,-81.68467084366522,-80.31445247366752,-79.71473628367333,-79.01396139756004,-83.37012635369219,-84.56001515514261,-85.49843291667618,-77.50618956090267,-86.45512344843212,-79.3969890169164,-83.29176558890525,-63.616290860289354,-95.38579588242422,-44.560639652408206,-107.73104028084127,-75.62162175949636,-79.85288844865606,-79.79887623519598,-78.62208252953162,-79.21280477545916,-79.89853836444583,-78.21205705422358,-79.91208191528386,-21.321644966870362,-102.43552204874568,65.47243682858402,158.73978681436293,83.20744998169965,70.03798334666581,85.10716246761078,29.70310591150804,86.01100062401416,67.16639837924113
00000001.jpg,-84.62972453472983,-83.36732253978644,-82.4058941042384,-81.69087400783094,-86.44158716527468,-87.48772787622525,-88.39849441808816,-80.28645588906073,-88.7940044025687,-82.19065235038352,-86.17385051654108,-67.37112491459577,-97.65101188177043,-48.52466975785916,-112.88417385255723,-79.64966755750773,-81.93263945282973,-84.56161142008621,-80.1222614310364,-84.32312516338854,-80.81713219243318,-83.11420558979495,-81.16804777881411,-16.47440723479308,-105.74744554488363,71.68462849452811,154.0752382961823,84.58315857903573,75.84763745243858,87.57910576310398,43.97722021427169,81.73968835354616,71.31412130325506
00000004.jpg,-85.0434475525769,-84.07192121768468,-83.37905213053662,-82.59325069714579,-86.27122156823616,-87.10226936780401,-87.88945332737016,-80.78238399241191,-88.84647781974971,-83.19131543630827,-86.08559324581606,-65.6223311570658,-99.01847306194762,-40.63606826063347,-119.06415206256564,-72.00219758205611,-81.30956864710963,-76.86767338768999,-78.24761266182013,-77.6861116413698,-79.14387448135531,-76.8175193184962,-79.73352441386068,-19.044276626319473,-129.68163054984356,75.1786632798531,172.7875872104637,88.92274088169928,86.54431693025025,90.85468056055755,62.550168319808414,86.41378310869203,77.14742809889532
00000005.jpg,-86.0795029907954,-84.3922625244038,-83.34758461865418,-82.36505655559787,-87.31900291956642,-88.09750337136964,-89.06073413795173,-80.36678095415681,-89.99677520095928,-83.932221964513,-87.8684889521656,-67.00444240549966,-101.02208626461719,-44.759828586027915,-117.70017607027677,-74.88942665893754,-83.48447064203965,-80.47071727042022,-78.68496470982868,-81.52514071887693,-79.624790742501,-80.22486499103651,-80.87543088575995,-14.614597276191398,-140.10173075072782,77.29086373815699,163.14805657859446,88.20670483073432,86.43462720739697,89.91285540050359,64.27153113810147,87.54652972369877,76.96247459393506
00000006.jpg,-91.14471849677334,-89.64048069555706,-88.7939573371808,-87.8818524283844,-92.53900554405543,-93.63674813598146,-94.4998841190804,-87.06899891011001,-96.09896577850101,-89.39288624966863,-93.4131267483096,-76.95772295993262,-109.89037646334909,-54.85015654278508,-136.14461869930656,-87.7526879022383,-107.10202006003256,-94.19991338842395,-100.35503294626871,-93.79021456087521,-98.77677544749729,-92.64192197351848,-99.7920763949992,-53.60757216423308,-156.03520210218394,29.589884314898057,106.3650876994864,93.32785175633241,94.49415777098395,130.11276569476033,93.49852210687295,107.03941663149881,94.55086079208918
00000008.jpg,-96.16715855398382,-94.46331996631568,-93.41211189595931,-92.56790250959486,-97.45050485207766,-98.76346065851406,-100.06574179037074,-91.34255269663562,-102.30892102605621,-94.40684857306975,-98.81849975159422,-83.70620830947372,-113.51438220078727,-60.74697544040009,-137.2125582055834,-87.91755362030788,-107.7572666042467,-91.62104512071383,-100.74191219048241,-92.85768351345106,-100.40594084083105,-92.72844731700478,-101.99337180579595,-70.4632817517262,-164.7263638939304,28.774580901435606,138.4580314269198,102.35092506150765,95.02584224242598,126.92200520301814,94.33907820584942,108.43316477029317,91.63510250714192
00000009.jpg,-102.1990913555289,-101.05203668929242,-100.39212170271504,-99.68740408007025,-102.65461706798688,-103.17728776336197,-103.56968066129747,-98.58759291368293,-105.23891869058922,-99.65790951370973,-101.70453327784622,-89.97850912925823,-117.7551742742966,-70.35492541001697,-115.92059093258821,-80.41052552276103,-101.92006551337217,-89.5575017816668,-95.69716918785696,-95.51447061877846,-101.28105284561471,-86.02652131668277,-100.79934427959962,-80.40520099061344,-155.24928991500818,-23.080817561831324,154.57102981219984,-87.38064730015233,101.37851578111805,-97.74526085526429,99.79897577771418,-124.19912440621208,90.69840529291696
00000011.jpg,-95.14552238780121,-93.64269452764144,-92.7873714121478,-91.87378080219901,-95.94265252969385,-96.90309900779597,-97.95804739800604,-90.1522347675574,-100.20256146422564,-93.79103269437293,-97.04535426405951,-82.3106363170724,-113.64722155360799,-67.01749295823195,-132.79760223020983,-90.94722167803347,-103.1388257964751,-93.16150547119487,-99.929499312332,-93.66966267311336,-99.68897393555544,-93.49022380050513,-100.06603047616825,15.216893508502295,-177.7108657241109,15.305473050935005,179.9134211166938,100.20516275548565,95.06422077799904,112.59288588052694,94.38763789863158,109.52289720327036,91.06925388748874
00000015.jpg,-83.88983696772638,-83.32167318588468,-82.71060057747722,-82.0767442078304,-85.10081107817129,-85.88105533854014,-86.69589838453537,-80.84861190333508,-87.17258120777646,-81.9551360704277,-84.61513655650128,-68.70433341152199,-95.57178810809127,-47.412446773839974,-114.81768582370086,-72.14784903098342,-85.7925579386668,-76.21499422722813,-83.96125032769007,-77.67999599170918,-84.43511929494281,-76.88699345284577,-83.65823625118352,-54.735689516055274,-89.65391510217702,75.83491049807414,152.78907659006177,90.46388594183182,117.69733867096348,92.5305829399447,113.33186364487874,90.90106198083164,106.52075289483247
00000027.jpg,-97.76772885947851,-96.05689046820228,-95.15901778672188,-94.3187390762001,-98.84002517725087,-99.8459602740975,-100.7834907128407,-92.95572919641272,-102.11233379174882,-96.33198155615511,-100.07919923902844,-83.20505690519175,-115.31411414809776,-60.7362935595818,-137.71428675797745,-95.564767622909,-107.93007588479084,-99.66369162759578,-101.722613717243,-99.19234378286029,-101.74677846664127,-98.63939748781443,-103.13637298266194,-79.77914030091966,-162.25700186155225,15.44477627021829,105.84375357761724,83.44765025268697,94.3482322142907,114.7810997955829,93.08934010250084,101.48983551199461,93.45340814131956
