image,nose,left_eye_inner,left_eye,left_eye_outer,right_eye_inner,right_eye,right_eye_outer,left_ear,right_ear,mouth_left,mouth_right,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_pinky,right_pinky,left_index,right_index,left_thumb,right_thumb,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,left_heel,right_heel,left_foot_index,right_foot_index
00000000.jpg,-74.69977300091288,-76.69365360416376,-76.76962931989837,-76.90419119083614,-77.85144155676748,-78.73059122137161,-79.69491080396378,-80.26741595918972,-84.34123099298037,-74.24087428373909,-75.8198890226176,-64.11515827462526,-107.57584808935283,-40.34560939129514,-138.83840403000625,-31.749421299267276,-152.14116552320908,-29.450925312008604,-154.97834731261565,-29.918606735547932,-154.6324217621126,-30.474366975554535,-154.0096026597797,39.70060121744697,125.94280122571011,14.40523884822328,138.53785029374222,46.47442559633768,142.9446643372759,51.75726966707679,143.53761697401345,42.77574762123309,139.91880135165832
00000001.jpg,-94.8671689823355,-92.34677260464596,-91.27864898225293,-90.2910957472691,-94.86427942079675,-95.61386457767092,-96.29753316313028,-87.0486219763246,-95.54118626677796,-92.50794087695819,-96.63372713007253,-69.07793909375259,-111.11049975933581,-45.70972048031996,-133.33909703716208,-33.67555710245078,-145.87166350614348,-30.73107833521508,-147.83131586421263,-30.95881719065265,-147.80622184202915,-31.726767111693455,-147.88877858075637,59.823287122499025,158.17640418443406,43.042383523092425,163.9475128058625,43.30964064536352,135.5220407682949,44.122222063724735,129.5073436757461,46.10944368126368,139.76608017004884
00000002.jpg,-107.8648102526992,-104.84366565196953,-103.95865529332148,-103.0802891830469,-106.33745293640668,-106.44955841414904,-106.52292786438205,-98.5437087089297,-103.343052839736,-105.83533278701086,-107.90519492256443,-83.22663045987213,-111.46907794117443,-43.782417290661876,-134.7615482387751,-30.53626259531137,-144.50135858198982,-26.530155990920708,-147.11567934018797,-26.695810316701422,-146.552443088386,-28.097846729633424,-146.1537965047894,65.64447862429277,145.43480028205488,40.829375856409634,173.4301846441615,39.14294295265352,136.61769625055982,38.66443528988474,130.84501052403442,40.075355492027015,138.80418505679106
00000004.jpg,-96.10372011061338,-93.46121883521312,-92.24713438099447,-91.0145509210525,-95.69334753118696,-96.15050237267627,-96.55655771667476,-86.30461476371048,-94.07782649929769,-93.61922219768444,-96.78362044927626,-67.37250806747872,-110.24230114641776,-42.91159035993868,-134.47575469804426,-32.57835432958394,-144.92822680486915,-29.855569141104848,-147.1388455159571,-30.15520800621637,-146.91308201484986,-30.627289329155168,-146.5181610115855,53.71026052637334,132.05472061905994,37.832208166288375,158.25714934228415,39.75869161263515,134.9333612436968,41.25701915245454,129.8515918000026,37.37542765080495,138.85762839135523
00000005.jpg,-77.59184463252195,-80.32926869734547,-80.49913819980273,-80.72244261082159,-81.15432934004282,-81.83875287007986,-82.61136000950196,-83.93435373608519,-86.70875932139711,-77.49236933840666,-78.80637278846591,-72.23721930978354,-102.6599087070276,-48.57959050919451,-130.94440035046497,-37.52849847882923,-144.55962814104188,-34.55157235580079,-147.50524724599418,-35.03415923680751,-147.4973911264116,-35.63639506979404,-146.9845765644226,52.271937231230936,137.9985944679372,26.66323853315855,138.15145847970655,48.79136598155567,136.44380229300774,53.69187575103507,137.23282831236057,42.226937286301116,135.51391908013025
00000007.jpg,-96.7762183314151,-94.12870470379313,-93.10085368957458,-91.95623048144539,-96.17923203112277,-96.75335615836086,-97.30804754971896,-87.42793589382953,-95.79237370624523,-95.16891439209527,-98.01017914712928,-65.79278412104927,-110.85440165432635,-44.16731553722458,-133.94607875755003,-34.41112881869038,-145.34993974568727,-31.065720793333767,-148.25166157077481,-31.10153170497841,-147.97670375170975,-32.13111560182722,-147.06362876019708,27.710151804954975,128.50009987287123,35.49586856944194,152.2124793949102,39.75564002584531,123.5507441089917,41.48274019513184,118.64456703790121,40.99770089411912,131.47410395334904
00000008.jpg,-99.53146433553432,-96.89949581720815,-96.09544196081742,-95.3472473178315,-98.12160829533062,-98.24649755733266,-98.36575304117792,-91.31878041132381,-95.8556142861373,-97.83228393060426,-99.71255082675474,-69.64944944894023,-115.08703085275152,-45.14653274840685,-139.62031050638228,-34.77002913695857,-149.80477719662122,-32.53777012693649,-151.15611912332,-32.77029349939608,-151.03412627291257,-33.054812032463694,-150.88963784888952,49.90519913899631,132.00353868312683,37.56046447159082,165.48154587297404,35.73149446983467,136.0453218172768,35.13856250887294,130.05518871873187,35.99468852925897,139.39858975138642
00000009.jpg,-91.63765964515643,-90.12392865745828,-89.21832300966268,-88.37168511709045,-92.83896376140547,-93.80789057266554,-94.93364378806973,-86.8478678677167,-96.7905896809137,-89.50412394890186,-93.14586696493214,-71.19110328841425,-110.38499107475933,-47.849004629734274,-132.94368204890316,-33.834092827872276,-144.53053735213928,-30.441510262606606,-147.03455194081212,-30.53907707423714,-146.79629833352655,-31.53654810943015,-146.32158205457444,27.450695201542516,147.190518710724,36.58781197740129,163.2518809910603,40.864742688655376,133.1298655878766,41.641763535040155,127.67453265751375,43.67749129990599,139.40780421724338
00000010.jpg,-78.20455468122653,-80.47817655853581,-80.78940147787148,-81.12028188474302,-80.7432886609803,-81.27946349460231,-81.81878700744946,-84.10991401206955,-85.25420185190265,-78.25152106044494,-79.329753611679,-69.18136314033616,-106.44799696254356,-46.846905508467515,-134.00437855697507,-34.79582057101912,-148.02181721583966,-31.94404199722076,-151.74134830450836,-31.88689608389687,-151.69812494741544,-32.61129773297929,-150.86220407004316,51.48588163085621,114.42760517251784,17.3085951794056,141.72537939181953,48.35151446718934,144.67709969063105,54.15969812415351,143.98812203467529,41.61223834729925,142.9612275989841
00000011.jpg,-80.40791114102026,-82.76622489609603,-83.34245688512183,-83.91334273277849,-81.56079217985244,-81.2962967626167,-81.05668272897437,-86.73314009351546,-82.28401036946173,-81.52638678228223,-80.01295348626802,-108.7808643515948,-70.93898682455502,-130.39141601575432,-48.2204161806876,-140.1750617841867,-36.00529287213092,-143.94889616995678,-32.50753945529184,-143.6091941593139,-32.996336427037285,-142.56759716136742,-34.144257536106565,143.6355145378961,23.492836564253686,135.5517041877425,19.563857210948143,137.37245555349293,46.44595146868904,137.225380751855,51.05785347571395,136.46550806306945,41.90097526672642
00000012.jpg,-107.69340122730533,-104.88820190387287,-104.10445831412682,-103.23358290440855,-105.61146591668238,-105.44006903215488,-105.20150214201287,-98.17101627384521,-101.30426109087747,-106.32913932774592,-107.4654910309798,-77.17005951895192,-116.15863879112383,-48.01002689820906,-134.4220119716033,-33.855839885549216,-142.5370607707714,-31.208234662068893,-145.36183672983054,-31.40273971124922,-144.84625627650527,-32.079836037409216,-144.04910502252187,80.37099173762805,148.05667126169098,44.823403369108064,167.60853327040422,40.32977588170527,136.60542862923865,40.052173592628904,132.23561133428277,41.269274791638324,139.8176691520985
00000014.jpg,-98.56228898117115,-95.08379665034742,-93.95071408875769,-92.82125098440628,-97.03658105758105,-97.45297005361675,-97.84291663143685,-88.59128609512285,-95.08526701455486,-96.72699479818695,-99.59013430465644,-69.86657509363899,-108.17954989195813,-43.35147640095675,-129.38787910491442,-31.85056773703462,-138.86837692968456,-29.211794732192423,-140.90835592695987,-29.420630714810372,-141.3158928351508,-30.17828259152814,-141.0586800948171,47.675792749503174,149.59916394273455,41.38089845210633,166.8704027469518,39.13221216062352,135.72648251993343,40.29735843327797,129.94993544232415,42.224664487214184,139.11209388265257
00000016.jpg,-88.59648429988121,-88.33045873856013,-87.7927708589118,-87.26051962603788,-90.54644727670839,-91.60362571259243,-92.63557914034672,-87.92961042472596,-95.80854305333092,-87.68134636644048,-90.81431815049795,-77.04071867234815,-111.98274141908216,-56.03378521067963,-128.6554299594692,-42.43952293205089,-139.41028342461559,-37.968582997725406,-142.17130073069384,-38.154282929683575,-141.82554922607446,-39.20347392327514,-141.44073602632523,12.89191623699489,159.25132205043195,30.043078522885324,136.70142232195496,51.22057008394721,136.20852937776115,56.20797707614947,133.977426129255,46.94299845715723,138.24889271037682
00000017.jpg,-103.1002152110426,-100.12698178257061,-99.27843298816227,-98.37234529069211,-101.22058983230119,-101.15725886653364,-101.02547415906382,-93.91392830597846,-97.61499214282914,-101.68774910394086,-103.29897735103067,-72.55050404151585,-112.75628567306127,-45.211086594489075,-136.77908982067385,-31.276876994437494,-147.696774991114,-28.906207439036965,-150.6808929744721,-29.096735443546855,-149.91909566157983,-29.39080756071498,-149.45001574884873,42.01570815798381,146.20832862701775,34.352411560056126,165.69389912571398,36.32511598474254,133.53557326368576,37.554447863100236,127.88361984012886,38.238489283648576,139.87201790301387
00000018.jpg,-74.39003181149133,-76.5100123413126,-76.56285962226265,-76.67254698551574,-77.58144727818333,-78.39872947250001,-79.44852483608095,-80.40322677775255,-84.80958722668039,-73.57383017268943,-75.0537842960658,-60.37388550707815,-107.58317013231344,-41.174346357472594,-140.65720014892693,-32.18126154358935,-154.37837610349743,-30.099962869039423,-155.91229952933494,-30.224369588111678,-155.76544646965004,-30.838966748965234,-155.44973504740494,40.028665165269786,127.62584350328115,18.34002374529821,141.5871886725652,49.34874323972067,143.6679623832208,54.60421885061267,143.27752724794897,43.64068607546335,141.58125622894062
00000019.jpg,-99.92567990884889,-96.65226710821503,-95.87625512941975,-95.07674424830395,-97.7415608083155,-97.67288738154575,-97.53299364700253,-90.48742120420188,-94.06791594633498,-98.49572687642801,-100.12673668954473,-70.44919260896681,-110.49417279637765,-47.562536889304404,-133.17809089125694,-33.7884189862927,-144.75937972622026,-31.487903633901524,-147.04587222368517,-31.49031790635967,-146.9606063213223,-31.806863013458656,-146.60014028602777,49.442894190262464,144.77740988674998,41.38248978071264,161.69711214171772,41.30076631860556,133.92268198851588,42.120429641666334,129.05814965491788,43.90091206427889,138.42459634248212
00000020.jpg,-67.48436073400691,-70.27914412763127,-70.62450804277883,-71.04060135190541,-70.88004360326097,-71.64506454671708,-72.48892240155813,-75.7756848776875,-77.7309514343744,-67.87840452377196,-68.79400102000243,-57.210619663490455,-100.08541287545512,-40.580986158721,-131.3672047628509,-32.21318591527513,-144.49689847230795,-29.72199371715537,-146.74723878718666,-29.64746031118493,-146.639481619956,-30.189413743814935,-146.16496844685778,40.31351282011022,116.51594732606635,15.922845672181552,137.62876375524002,44.74860425114817,144.11554064292486,50.52061018463866,144.29291719211707,40.525541083835115,143.9616720174488
00000021.jpg,-77.9576044478365,-79.21099004035355,-79.11973287960296,-79.0644715750747,-80.68056596048332,-81.58223124257911,-82.65761523419185,-81.75161612871635,-88.08308265025741,-77.83270219278782,-79.75214159389867,-68.42967056944305,-107.95428435806514,-45.00171013028858,-133.15550787702043,-33.05702797223503,-145.04371862292646,-30.481331850136307,-147.56423923612095,-30.758057505520437,-147.0191363605656,-31.467905358573844,-146.6055485346989,32.891406949544184,144.40226687167453,14.813785999542885,142.65567998813276,45.63148949121502,142.91888956709332,51.33770342778574,142.22745563397763,41.699926113797396,141.50045119556097
00000022.jpg,-73.18681848223319,-76.28614445769605,-76.93980183497608,-77.63369312141128,-75.616691742059,-75.71469406038848,-75.82345796339314,-82.48660952610689,-78.87286146105627,-74.31381575334285,-73.38922666035953,-109.40255341282754,-67.04381483340399,-137.03829226573188,-41.428745829532495,-148.63330756209166,-30.817687927172635,-151.14524529692946,-28.231974905806744,-150.37825127947994,-29.319363049136857,-149.86337073537945,-29.954199987771677,122.94746171392623,56.06529982704139,141.4430173409442,12.807638304716134,142.3582351637438,43.88972184745246,142.14511203840433,48.950565224132625,143.71541558888137,39.57765587284716
00000023.jpg,-91.70615953286062,-89.79368637262094,-89.19094188757178,-88.63262752443873,-90.96469322607169,-91.16062141043108,-91.47492417016201,-85.69548722789305,-89.19141312124209,-90.52902828496954,-91.977026638544,-66.10442531831833,-100.94512526327067,-45.174964618834366,-128.7350407901998,-35.44343543915635,-139.6444238314792,-32.59972451314549,-142.4245003963476,-32.602892950906394,-142.31023004485402,-33.121708569999115,-141.95925225177538,23.073044785509968,116.71417795802279,44.59773546388438,145.66185610681308,45.27953295219324,117.91463131835623,46.1586859966375,112.38087913428966,45.88942081048964,126.01617075210525
